activeKilocalories,activityType,averageHeartRateInBeatsPerMinute,averagePaceInMinutesPerKilometer,averageRunCadenceInStepsPerMinute,averageSpeedInMetersPerSecond,date,deviceName,distanceInMeters,durationInSeconds,maxHeartRateInBeatsPerMinute,maxPaceInMinutesPerKilometer,maxRunCadenceInStepsPerMinute,maxSpeedInMetersPerSecond,id,startTimeInSeconds,startTimeOffsetInSeconds,steps,summaryId
77.0,RUNNING,162.0,21.987686,162.0,0.758,1026.0,vivosmart4APAC,243.03,320.0,188.0,4.1802526,174.0,3.987,1091_uty_activities_1,1603709145.0,28800.0,1326.0,5730346023.0
429.0,RUNNING,153.0,5.7810154,162.0,2.883,1019.0,vivosmart4APAC,5962.11,2067.0,178.0,4.667227,170.0,3.571,1091_uty_activities_11,1602814529.0,28800.0,5534.0,5698723736.0
236.0,RUNNING,173.0,6.2351913,154.0,2.673,1019.0,vivosmart4APAC,2659.91,995.0,183.0,4.7906485,164.0,3.4789999999999996,1091_uty_activities_11,1602816693.0,28800.0,2530.0,5698724089.0
68.0,WALKING,106.0,11.679514,114.0,1.4269999999999998,1019.0,vivosmart4APAC,1066.07,746.0,120.0,10.058338000000001,158.0,1.6569999999999998,1091_uty_activities_11,1602849568.0,28800.0,1372.0,5698724417.0
12.0,RUNNING,126.0,12.437811,114.0,1.34,1024.0,vivosmart4APAC,171.55,127.0,131.0,11.066842999999999,120.0,1.506,1091_uty_activities_11,1603429138.0,28800.0,246.0,5720537228.0
184.0,RUNNING,150.0,6.337135,168.0,2.63,1025.0,vivosmart4APAC,3538.01,1345.0,171.0,5.6306305,176.0,2.96,1091_uty_activities_11,1603630705.0,28800.0,3756.0,5726425997.0
57.0,WALKING,104.0,15.403573000000002,110.0,1.082,1019.0,vivosmart4APAC,702.2,649.0,113.0,8.776548,122.0,1.899,1091_uty_activities_13,1602935279.0,28800.0,1056.0,5698724680.0
133.0,RUNNING,128.0,6.988119999999999,160.0,2.385,1019.0,vivosmart4APAC,1972.96,827.0,157.0,3.4258307999999995,176.0,4.865,1091_uty_activities_15,1603100569.0,28800.0,1854.0,5698725039.0
597.0,RUNNING,150.0,6.2492185,158.0,2.667,1019.0,vivosmart4APAC,8167.49,3062.0,172.0,4.3561597,172.0,3.826,1091_uty_activities_15,1603101431.0,28800.0,7556.0,5698725978.0
157.0,RUNNING,145.0,7.068136999999999,150.0,2.358,1019.0,vivosmart4APAC,2007.54,851.0,178.0,4.492363,226.0,3.71,1091_uty_activities_15,1603104494.0,28800.0,1812.0,5698726375.0
137.0,WALKING,94.0,14.934288,106.0,1.1159999999999999,1022.0,vivosmart4APAC,2145.6,1923.0,119.0,10.893247,114.0,1.53,1091_uty_activities_15,1603200962.0,28800.0,2816.0,5710611200.0
152.0,RUNNING,140.0,7.631257499999999,158.0,2.184,1022.0,vivosmart4APAC,1818.62,832.0,172.0,4.8647594000000005,164.0,3.426,1091_uty_activities_15,1603271739.0,28800.0,1772.0,5710611368.0
735.0,RUNNING,172.0,6.096074,158.0,2.734,1022.0,vivosmart4APAC,8529.49,3120.0,184.0,4.1438756,170.0,4.022,1091_uty_activities_15,1603272630.0,28800.0,7998.0,5710611779.0
90.0,RUNNING,171.0,8.118201,160.0,2.053,1022.0,vivosmart4APAC,791.69,385.0,181.0,5.0095186,166.0,3.327,1091_uty_activities_15,1603275905.0,28800.0,760.0,5710611861.0
18.0,RUNNING,136.0,6.485084,144.0,2.57,1022.0,vivosmart4APAC,256.92,99.0,147.0,4.2365699999999995,174.0,3.9339999999999997,1091_uty_activities_15,1603276507.0,28800.0,240.0,5710611927.0
700.0,RUNNING,164.0,6.207325,158.0,2.685,1024.0,vivosmart4APAC,8572.17,3192.0,178.0,4.1469684,172.0,4.019,1091_uty_activities_15,1603536252.0,28800.0,8200.0,5721848913.0
229.0,RUNNING,164.0,6.907031,154.0,2.4130000000000003,1024.0,vivosmart4APAC,2533.89,1050.0,185.0,4.836525,170.0,3.446,1091_uty_activities_15,1603539466.0,28800.0,2426.0,5721849742.0
94.0,WALKING,107.0,10.9218,110.0,1.526,1022.0,vivosmart4APAC,1524.11,998.0,118.0,4.9280504999999994,216.0,3.3819999999999997,1091_uty_activities_4,1603017631.0,28800.0,1790.0,5711263352.0
55.0,WALKING,90.0,18.96094,102.0,0.879,1021.0,vivosmart4APAC,762.11,867.0,106.0,8.813678999999999,138.0,1.891,1091_uty_activities_5,1602831993.0,28800.0,1192.0,5706528124.0
63.0,WALKING,98.0,36.791756,96.0,0.45299999999999996,1021.0,vivosmart4APAC,448.16,988.0,112.0,7.3131485000000005,160.0,2.279,1091_uty_activities_5,1602916182.0,28800.0,952.0,5706528229.0
63.0,WALKING,88.0,16.260162,108.0,1.025,1022.0,vivosmart4APAC,700.51,683.0,119.0,7.9554496,206.0,2.095,1091_uty_activities_5,1603264003.0,28800.0,1006.0,5711263490.0
55.0,WALKING,104.0,16.134237,108.0,1.033,1029.0,vivosmart4APAC,752.09,727.0,123.0,10.568589999999999,116.0,1.577,1091_uty_activities_5,1603418424.0,28800.0,1010.0,5742825065.0
51.0,WALKING,90.0,64.59949,94.0,0.258,1029.0,vivosmart4APAC,217.96,844.0,102.0,11.066842999999999,112.0,1.506,1091_uty_activities_5,1603535864.0,28800.0,912.0,5742825104.0
53.0,WALKING,90.0,143.67816000000002,94.0,0.11599999999999999,1029.0,vivosmart4APAC,109.99,944.0,100.0,12.094823,102.0,1.3780000000000001,1091_uty_activities_5,1603618560.0,28800.0,1140.0,5742825145.0
48.0,WALKING,98.0,18.982534,100.0,0.878,1029.0,vivosmart4APAC,637.75,726.0,108.0,10.262725999999999,112.0,1.624,1091_uty_activities_5,1603691200.0,28800.0,940.0,5742825202.0
70.0,WALKING,102.0,16.18123,100.0,1.03,1029.0,vivosmart4APAC,1067.86,1036.0,119.0,11.215792,148.0,1.486,1091_uty_activities_5,1603752633.0,28800.0,1380.0,5742825257.0
78.0,WALKING,95.0,21.39495,100.0,0.779,1029.0,vivosmart4APAC,976.39,1253.0,109.0,10.986597,124.0,1.517,1091_uty_activities_5,1603781745.0,28800.0,1654.0,5742825322.0
93.0,WALKING,106.0,16.323864,104.0,1.021,930.0,vivosmart4APAC,1218.83,1193.0,123.0,10.9218,158.0,1.526,1091_mr_activities_1,1601464161.0,28800.0,1614.0,5611955914.0
52.0,WALKING,106.0,19.86492,100.0,0.8390000000000001,1001.0,vivosmart4APAC,592.07,705.0,120.0,11.820332,108.0,1.41,1091_mr_activities_1,1601521277.0,28800.0,874.0,5617148973.0
62.0,WALKING,111.0,13.808341,120.0,1.207,1016.0,vivosmart4APAC,892.8,739.0,121.0,7.7591558,152.0,2.148,1091_mr_activities_11,1602845714.0,28800.0,1126.0,5684402622.0
55.0,WALKING,92.0,12.465719,120.0,1.337,1022.0,vivosmart4APAC,1020.3,763.0,110.0,8.291874,130.0,2.01,1091_mr_activities_11,1603340058.0,28800.0,1272.0,5710774289.0
115.0,WALKING,138.0,13.808341,114.0,1.207,1027.0,vivosmart4APAC,970.94,804.0,148.0,8.5470085,130.0,1.95,1091_mr_activities_11,1603799640.0,28800.0,1228.0,5735004828.0
70.0,WALKING,106.0,15.304560999999998,110.0,1.089,1018.0,vivosmart4APAC,1182.92,1086.0,119.0,8.689608,130.0,1.9180000000000001,1091_mr_activities_13,1603011388.0,28800.0,1576.0,5692898916.0
53.0,WALKING,104.0,13.638844,114.0,1.222,1019.0,vivosmart4APAC,935.23,765.0,119.0,8.320852,120.0,2.003,1091_mr_activities_13,1603090430.0,28800.0,1116.0,5699059572.0
88.0,WALKING,108.0,12.939959,108.0,1.288,1019.0,vivosmart4APAC,1764.38,1370.0,121.0,8.726004,118.0,1.91,1091_mr_activities_13,1603098045.0,28800.0,2096.0,5699059952.0
69.0,WALKING,106.0,13.248543,112.0,1.258,1023.0,vivosmart4APAC,1277.85,1015.0,120.0,4.051207499999999,222.0,4.114,1091_mr_activities_13,1603342610.0,28800.0,1560.0,5715391449.0
50.0,WALKING,105.0,15.842838,110.0,1.052,1025.0,vivosmart4APAC,786.41,747.0,115.0,9.908838000000001,118.0,1.682,1091_mr_activities_13,1603621297.0,28800.0,1114.0,5725471282.0
58.0,WALKING,113.0,14.5180025,112.0,1.148,1025.0,vivosmart4APAC,934.54,814.0,121.0,8.799717999999999,144.0,1.8940000000000001,1091_mr_activities_13,1603622643.0,28800.0,1298.0,5725471705.0
90.0,WALKING,114.0,11.887779,116.0,1.402,1031.0,vivosmart4APAC,1643.27,1171.0,125.0,6.734007000000001,132.0,2.475,1091_mr_activities_13,1604119484.0,28800.0,2016.0,5750934482.0
116.0,RUNNING,126.0,7.906388300000001,138.0,2.108,1031.0,vivosmart4APAC,2609.32,1237.0,159.0,3.6963114999999998,230.0,4.5089999999999995,1091_mr_activities_13,1604140007.0,28800.0,2648.0,5751951429.0
75.0,WALKING,118.0,14.530660000000001,118.0,1.147,1031.0,vivosmart4APAC,1263.11,1101.0,132.0,10.076582,130.0,1.6540000000000001,1091_mr_activities_14,1603878486.0,28800.0,1796.0,5750982704.0
74.0,WALKING,111.0,17.580872,110.0,0.948,1007.0,vivosmart4APAC,762.12,804.0,124.0,8.082767500000001,124.0,2.062,1091_mr_activities_2,1601472608.0,28800.0,1056.0,5642596480.0
49.0,WALKING,100.0,28.636884999999996,100.0,0.5820000000000001,1018.0,vivosmart4APAC,361.16,620.0,113.0,10.39069,118.0,1.604,1091_mr_activities_2,1603024755.0,28800.0,730.0,5694254363.0
110.0,WALKING,106.0,33.60215,94.0,0.496,1025.0,vivosmart4APAC,597.98,1206.0,126.0,5.5352597,190.0,3.011,1091_mr_activities_2,1603633567.0,28800.0,1416.0,5726697789.0
127.0,WALKING,112.0,13.092433,108.0,1.273,1030.0,vivosmart4APAC,2007.38,1576.0,121.0,4.96475,230.0,3.3569999999999998,1091_mr_activities_2,1603890556.0,28800.0,2588.0,5748067481.0
72.0,WALKING,111.0,14.343086999999999,104.0,1.162,1030.0,vivosmart4APAC,1010.75,869.0,123.0,9.507511000000001,124.0,1.7530000000000001,1091_mr_activities_2,1603893046.0,28800.0,1330.0,5748067702.0
58.0,WALKING,112.0,15.649451000000001,102.0,1.065,1030.0,vivosmart4APAC,687.02,645.0,119.0,10.649627,114.0,1.565,1091_mr_activities_2,1603894092.0,28800.0,1004.0,5748067839.0
67.0,WALKING,113.0,24.050024,112.0,0.693,1018.0,vivosmart4APAC,467.57,674.0,127.0,8.8841505,122.0,1.876,1091_mr_activities_4,1602762575.0,28800.0,678.0,5696115362.0
54.0,WALKING,103.0,18.518518,108.0,0.9,1018.0,vivosmart4APAC,638.95,710.0,115.0,4.3032965999999995,212.0,3.873,1091_mr_activities_4,1602849343.0,28800.0,932.0,5696115543.0
111.0,WALKING,104.0,14.405071,102.0,1.157,1016.0,vivosmart4APAC,1362.46,1177.0,120.0,8.758101,126.0,1.903,1091_mr_activities_6,1602851049.0,28800.0,1846.0,5685711845.0
61.0,WALKING,99.0,22.133685999999997,92.0,0.753,1017.0,vivosmart4APAC,522.13,693.0,111.0,10.936133,106.0,1.524,1091_mr_activities_6,1602933790.0,28800.0,864.0,5690485110.0
113.0,WALKING,98.0,19.516003,102.0,0.8540000000000001,1019.0,vivosmart4APAC,1095.45,1283.0,108.0,7.050197,168.0,2.364,1091_mr_activities_6,1603021729.0,28800.0,1530.0,5697319528.0
75.0,WALKING,98.0,13.93534,106.0,1.196,1022.0,vivosmart4APAC,1012.28,846.0,109.0,7.974482000000001,120.0,2.09,1091_mr_activities_6,1603277358.0,28800.0,1302.0,5711556507.0
78.0,WALKING,99.0,14.607069000000001,104.0,1.141,1022.0,vivosmart4APAC,1010.06,885.0,111.0,9.107467999999999,120.0,1.83,1091_mr_activities_6,1603287578.0,28800.0,1320.0,5711557041.0
31.0,RUNNING,109.0,6.1774154,152.0,2.698,1028.0,vivosmart4APAC,568.71,210.0,122.0,4.335761,162.0,3.844,1091_mr_activities_6,1603714395.0,28800.0,502.0,5738083501.0
93.0,WALKING,92.0,15.028554999999999,106.0,1.109,1028.0,vivosmart4APAC,1189.57,1072.0,110.0,8.604371,116.0,1.9369999999999998,1091_mr_activities_6,1603794036.0,28800.0,1538.0,5738083791.0
83.0,WALKING,97.0,17.655367000000002,100.0,0.9440000000000001,1028.0,vivosmart4APAC,940.72,996.0,108.0,10.914647,114.0,1.527,1091_mr_activities_6,1603799018.0,28800.0,1306.0,5738084062.0
67.0,WALKING,99.0,19.223375,104.0,0.867,1028.0,vivosmart4APAC,626.35,722.0,114.0,9.908838000000001,114.0,1.682,1091_mr_activities_6,1603882941.0,28800.0,932.0,5739989241.0
58.0,WALKING,96.0,15.028554999999999,96.0,1.109,1028.0,vivosmart4APAC,827.73,746.0,108.0,9.004142,130.0,1.851,1091_mr_activities_6,1603887955.0,28800.0,1096.0,5739989771.0
121.0,WALKING,90.0,21.477663,98.0,0.7759999999999999,1029.0,vivosmart4APAC,1244.83,1603.0,108.0,6.777822500000001,178.0,2.459,1091_mr_activities_6,1603977899.0,28800.0,1962.0,5744844957.0
42.0,WALKING,97.0,30.138638,98.0,0.5529999999999999,1019.0,vivosmart4APAC,409.0,739.0,106.0,11.956000999999999,110.0,1.3940000000000001,1091_mr_activities_8,1603025601.0,28800.0,1126.0,5699474818.0
75.0,WALKING,116.0,16.134237,118.0,1.033,1020.0,vivosmart4APAC,855.55,828.0,128.0,9.656238,170.0,1.726,1091_mr_activities_8,1603201398.0,28800.0,1250.0,5703441427.0
79.0,WALKING,102.0,27.18869,110.0,0.613,1024.0,vivosmart4APAC,684.3,1115.0,118.0,9.458948,138.0,1.7619999999999998,1091_mr_activities_8,1603467569.0,28800.0,1286.0,5720610023.0
67.0,WALKING,108.0,23.180342,110.0,0.7190000000000001,1024.0,vivosmart4APAC,616.58,857.0,118.0,9.606148,134.0,1.735,1091_mr_activities_8,1603539018.0,28800.0,1182.0,5720610316.0
56.0,STRENGTH_TRAINING,118.0,17.253277,108.0,0.966,1020.0,vivosmart4APAC,1029.89,1022.0,112.0,11.431185000000001,116.0,1.4580000000000002,1091_mr_activities_9,1603114406.0,28800.0,1606.0,5703708528.0
233.0,RUNNING,159.0,6.019019999999999,168.0,2.7689999999999997,423.0,vivosmart4APAC,3129.44,1130.0,196.0,4.0819654000000005,182.0,4.083,1092_mrw_activities_1,1586864154.0,28800.0,2858.0,4824122402.0
58.0,WALKING,103.0,21.987686,106.0,0.758,423.0,vivosmart4APAC,539.42,711.0,124.0,10.528533,114.0,1.5830000000000002,1092_mrw_activities_1,1587168776.0,28800.0,812.0,4824122539.0
10.0,RUNNING,111.0,10.850694,116.0,1.536,509.0,vivosmart4APAC,180.74,117.0,117.0,9.71251,120.0,1.716,1092_mrw_activities_1,1588406725.0,28800.0,230.0,4903819726.0
197.0,RUNNING,166.0,6.611133000000001,154.0,2.521,509.0,vivosmart4APAC,2220.36,880.0,190.0,4.56246,178.0,3.653,1092_mrw_activities_1,1588678591.0,28800.0,2242.0,4903819887.0
68.0,RUNNING,170.0,7.572315700000001,158.0,2.201,509.0,vivosmart4APAC,653.46,296.0,185.0,4.9412,176.0,3.373,1092_mrw_activities_1,1588679629.0,28800.0,676.0,4903819966.0
48.0,WALKING,96.0,26.455027,100.0,0.63,509.0,vivosmart4APAC,410.73,652.0,110.0,9.573042,130.0,1.7409999999999999,1092_mrw_activities_1,1588747208.0,28800.0,658.0,4903820081.0
263.0,RUNNING,162.0,6.2680206,168.0,2.659,515.0,vivosmart4APAC,3289.06,1236.0,180.0,4.8718699999999995,178.0,3.4210000000000003,1092_mrw_activities_1,1589283209.0,28800.0,3178.0,4937446886.0
107.0,WALKING,103.0,19.584803,106.0,0.851,523.0,vivosmart4APAC,1156.01,12.0,124.0,10.615711,116.0,1.57,1092_mrw_activities_1,1589793590.0,28800.0,2194.0,4974384536.0
81.0,WALKING,104.0,10.801469,112.0,1.5430000000000001,530.0,vivosmart4APAC,1521.3,1358.0,121.0,8.99928,118.0,1.8519999999999999,1092_mrw_activities_1,1590663551.0,28800.0,1858.0,5009701337.0
70.0,WALKING,106.0,24.912806,108.0,0.669,530.0,vivosmart4APAC,434.75,986.0,125.0,8.059316,152.0,2.068,1092_mrw_activities_1,1590795674.0,28800.0,812.0,5009701582.0
71.0,WALKING,111.0,17.543860000000002,114.0,0.95,414.0,vivosmart4APAC,768.04,649.0,108.0,9.584052,118.0,1.739,1092_mrw_activities_2,1586836141.0,28800.0,1064.0,4781819542.0
775.0,WALKING,98.0,4.945598599999999,168.0,3.37,427.0,vivosmart4APAC,12413.48,808.0,184.0,2.5499797,238.0,6.5360000000000005,1092_mrw_activities_2,1587733379.0,28800.0,9756.0,4844261652.0
835.0,CYCLING,158.0,4.659398,172.0,3.577,503.0,vivosmart4APAC,14208.57,12197.0,190.0,3.0380363,244.0,5.486000000000001,1092_mrw_activities_2,1588390800.0,28800.0,10822.0,4874559033.0
882.0,RUNNING,156.0,5.206706,166.0,3.201,504.0,vivosmart4APAC,13748.14,3683.0,184.0,3.3507571000000005,238.0,4.974,1092_mrw_activities_2,1588597277.0,28800.0,11368.0,4880221321.0
6.0,RUNNING,156.0,10.319918,210.0,1.615,507.0,vivosmart4APAC,183.16,3972.0,91.0,3.2375032999999998,226.0,5.148,1092_mrw_activities_2,1588856038.0,28800.0,250.0,4898040516.0
525.0,RUNNING,81.0,4.83372,170.0,3.448,509.0,vivosmart4APAC,9185.51,4295.0,165.0,3.112356,220.0,5.355,1092_mrw_activities_2,1588944125.0,28800.0,7366.0,4903593396.0
73.0,RUNNING,148.0,28.058360999999998,98.0,0.594,510.0,vivosmart4APAC,460.83,113.0,117.0,6.7971725,158.0,2.452,1092_mrw_activities_2,1589031794.0,28800.0,908.0,4912170725.0
815.0,RUNNING,100.0,4.9617944000000005,172.0,3.359,511.0,vivosmart4APAC,13354.44,2664.0,179.0,3.1293027,232.0,5.3260000000000005,1092_mrw_activities_2,1589203096.0,28800.0,11010.0,4915977547.0
389.0,WALKING,151.0,4.6373587,170.0,3.594,513.0,vivosmart4APAC,7211.27,776.0,187.0,3.9625932999999995,234.0,4.206,1092_mrw_activities_2,1589330313.0,28800.0,5610.0,4923744891.0
68.0,RUNNING,150.0,23.44116,100.0,0.711,514.0,vivosmart4APAC,724.98,3976.0,106.0,3.7647767,210.0,4.427,1092_mrw_activities_2,1589455507.0,28800.0,1234.0,4930444896.0
