activeKilocalories,activeTimeInSeconds,activityStressDurationInSeconds,activityType,averageHeartRateInBeatsPerMinute,averageStressLevel,bmrKilocalories,date,distanceInMeters,durationInSeconds,floorsClimbed,floorsClimbedGoal,highStressDurationInSeconds,intensityDurationGoalInSeconds,lowStressDurationInSeconds,maxHeartRateInBeatsPerMinute,maxStressLevel,mediumStressDurationInSeconds,minHeartRateInBeatsPerMinute,moderateIntensityDurationInSeconds,id,restStressDurationInSeconds,restingHeartRateInBeatsPerMinute,startTimeInSeconds,startTimeOffsetInSeconds,steps,stepsGoal,stressDurationInSeconds,stressQualifier,summaryId,vigorousIntensityDurationInSeconds
997.0,14179.0,21120.0,WALKING,74.0,47.0,2143.0,1017.0,10933.0,86400.0,39.0,10.0,16200.0,9000.0,4980.0,119.0,98.0,14700.0,43.0,0.0,1091_uty_dailies_1,24060.0,48.0,1602691200.0,28800.0,12667.0,10820.0,35880.0,stressful,x369fc6c-5f872080-15180-6,0.0
777.0,11979.0,19020.0,WALKING,71.0,37.0,2143.0,1017.0,8665.0,86400.0,29.0,10.0,8700.0,9000.0,5640.0,128.0,97.0,13320.0,44.0,0.0,1091_uty_dailies_1,26700.0,49.0,1602777600.0,28800.0,10289.0,11010.0,27660.0,balanced,x369fc6c-5f887200-15180-6,0.0
34.0,1312.0,3060.0,WALKING,57.0,16.0,903.0,1017.0,438.0,36420.0,0.0,10.0,300.0,9000.0,4740.0,114.0,81.0,1260.0,45.0,0.0,1091_uty_dailies_1,25980.0,50.0,1602864000.0,28800.0,529.0,10940.0,6300.0,unknown,x369fc6c-5f89c380-8e44-6,0.0
85.0,3750.0,6120.0,WALKING,62.0,23.0,809.0,1018.0,1476.0,32640.0,0.0,10.0,2160.0,9000.0,2040.0,101.0,90.0,3240.0,46.0,0.0,1091_uty_dailies_1,17820.0,50.0,1602950400.0,28800.0,1782.0,11570.0,7440.0,unknown,x369fc6c-5f8b1500-7f80-6,0.0
1883.0,26518.0,37620.0,WALKING,78.0,36.0,2143.0,1018.0,14920.0,86400.0,22.0,10.0,11880.0,9000.0,4920.0,133.0,98.0,2460.0,45.0,0.0,1091_uty_dailies_1,25980.0,50.0,1602864000.0,28800.0,17175.0,10940.0,19260.0,balanced,x369fc6c-5f89c380-15180-6,0.0
96.0,4093.0,7140.0,WALKING,62.0,23.0,839.0,1018.0,1615.0,33840.0,0.0,10.0,2160.0,9000.0,2040.0,101.0,90.0,3420.0,46.0,0.0,1091_uty_dailies_1,17820.0,50.0,1602950400.0,28800.0,1950.0,11570.0,7620.0,unknown,x369fc6c-5f8b1500-8430-6,0.0
131.0,4911.0,10380.0,WALKING,64.0,24.0,930.0,1018.0,1874.0,37500.0,1.0,10.0,2340.0,9000.0,2040.0,101.0,90.0,3540.0,46.0,0.0,1091_uty_dailies_1,17820.0,50.0,1602950400.0,28800.0,2263.0,11570.0,7920.0,unknown,x369fc6c-5f8b1500-927c-6,0.0
146.0,5863.0,13020.0,WALKING,65.0,25.0,1022.0,1018.0,2076.0,41220.0,2.0,10.0,2340.0,9000.0,2340.0,101.0,90.0,4080.0,46.0,0.0,1091_uty_dailies_1,17880.0,50.0,1602950400.0,28800.0,2507.0,11570.0,8760.0,unknown,x369fc6c-5f8b1500-a104-6,0.0
509.0,14951.0,34380.0,WALKING,72.0,38.0,2143.0,1019.0,6243.0,86400.0,11.0,10.0,7380.0,9000.0,5760.0,106.0,95.0,11460.0,46.0,0.0,1091_uty_dailies_1,22080.0,50.0,1602950400.0,28800.0,7519.0,11570.0,24600.0,balanced,x369fc6c-5f8b1500-15180-6,0.0
123.0,2117.0,4140.0,WALKING,61.0,24.0,1095.0,1019.0,838.0,44160.0,0.0,10.0,1560.0,9000.0,3000.0,112.0,92.0,5160.0,44.0,0.0,1091_uty_dailies_1,26760.0,52.0,1603036800.0,28800.0,1012.0,11170.0,9720.0,unknown,x369fc6c-5f8c6680-ac80-6,0.0
49.0,1395.0,2340.0,WALKING,59.0,20.0,806.0,1020.0,691.0,32520.0,0.0,10.0,1320.0,9000.0,2520.0,99.0,94.0,2820.0,44.0,0.0,1091_uty_dailies_1,20400.0,51.0,1603123200.0,28800.0,835.0,11330.0,6660.0,unknown,x369fc6c-5f8db800-7f08-6,0.0
1224.0,18864.0,27780.0,WALKING,74.0,35.0,2143.0,1020.0,10511.0,86400.0,16.0,10.0,7080.0,9000.0,4140.0,125.0,97.0,9900.0,44.0,0.0,1091_uty_dailies_1,26760.0,52.0,1603036800.0,28800.0,12693.0,11170.0,21120.0,balanced,x369fc6c-5f8c6680-15180-6,0.0
52.0,1409.0,2580.0,WALKING,63.0,29.0,590.0,1020.0,683.0,23820.0,0.0,10.0,1140.0,9000.0,3780.0,106.0,94.0,3240.0,46.0,0.0,1091_uty_dailies_1,11880.0,56.0,1603209600.0,28800.0,825.0,11080.0,8160.0,unknown,x369fc6c-5f8f0980-5d0c-6,0.0
596.0,11436.0,16920.0,WALKING,70.0,39.0,2143.0,1020.0,7273.0,86400.0,24.0,10.0,9540.0,9000.0,7140.0,121.0,98.0,15900.0,44.0,0.0,1091_uty_dailies_1,29220.0,51.0,1603123200.0,28800.0,8773.0,11330.0,32580.0,balanced,x369fc6c-5f8db800-15180-6,0.0
52.0,1529.0,2760.0,WALKING,60.0,23.0,939.0,1021.0,703.0,37860.0,0.0,10.0,1140.0,9000.0,4020.0,106.0,94.0,3300.0,44.0,0.0,1091_uty_dailies_1,25320.0,50.0,1603209600.0,28800.0,849.0,11080.0,8460.0,unknown,x369fc6c-5f8f0980-93e4-6,0.0
281.0,4522.0,7020.0,WALKING,68.0,37.0,1465.0,1021.0,2758.0,59100.0,9.0,10.0,7800.0,9000.0,5160.0,121.0,96.0,10020.0,44.0,0.0,1091_uty_dailies_1,26940.0,50.0,1603209600.0,28800.0,3330.0,11080.0,22980.0,balanced,x369fc6c-5f8f0980-e6dc-6,0.0
648.0,10228.0,15000.0,WALKING,71.0,40.0,2143.0,1022.0,6504.0,86400.0,20.0,10.0,10560.0,9000.0,9180.0,121.0,96.0,15780.0,44.0,0.0,1091_uty_dailies_1,30720.0,50.0,1603209600.0,28800.0,7835.0,11080.0,35520.0,balanced,x369fc6c-5f8f0980-15180-6,0.0
191.0,2367.0,4260.0,WALKING,63.0,24.0,912.0,1022.0,893.0,36780.0,1.0,10.0,3240.0,9000.0,2400.0,121.0,94.0,2880.0,41.0,0.0,1091_uty_dailies_1,23280.0,49.0,1603296000.0,28800.0,1078.0,10440.0,8520.0,unknown,x369fc6c-5f905b00-8fac-6,0.0
468.0,6302.0,9900.0,WALKING,70.0,39.0,1494.0,1022.0,3780.0,60240.0,18.0,10.0,8040.0,9000.0,4320.0,121.0,94.0,12840.0,41.0,0.0,1091_uty_dailies_1,23280.0,49.0,1603296000.0,28800.0,4565.0,10440.0,25200.0,balanced,x369fc6c-5f905b00-eb50-6,0.0
857.0,11745.0,17040.0,WALKING,74.0,46.0,2143.0,1022.0,7771.0,86400.0,28.0,10.0,13320.0,9000.0,6420.0,121.0,94.0,22740.0,41.0,0.0,1091_uty_dailies_1,23280.0,49.0,1603296000.0,28800.0,9384.0,10440.0,42480.0,stressful,x369fc6c-5f905b00-15180-6,0.0
94.0,2986.0,4800.0,WALKING,61.0,22.0,644.0,1022.0,1148.0,25980.0,2.0,10.0,660.0,9000.0,2400.0,104.0,87.0,2700.0,44.0,0.0,1091_uty_dailies_1,12900.0,47.0,1603382400.0,28800.0,1386.0,10230.0,5760.0,unknown,x369fc6c-5f91ac80-657c-6,0.0
94.0,3106.0,4860.0,WALKING,59.0,19.0,812.0,1023.0,1173.0,32760.0,2.0,10.0,660.0,9000.0,2460.0,104.0,87.0,2700.0,44.0,0.0,1091_uty_dailies_1,19560.0,47.0,1603382400.0,28800.0,1416.0,10230.0,5820.0,unknown,x369fc6c-5f91ac80-7ff8-6,0.0
