awakeDurationInSeconds,date,deepSleepDurationInSeconds,durationInSeconds,lightSleepDurationInSeconds,id,remSleepInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,summaryId,unmeasurableSleepInSeconds,validation
600.0,1017,60.0,33840.0,22980.0,1091_uty_sleeps_1,10800.0,1602612360.0,28800.0,x369fc6c-5f85ec88-8430,0.0,ENHANCED_TENTATIVE
900.0,1017,8580.0,24600.0,16020.0,1091_uty_sleeps_1,0.0,1602789960.0,28800.0,x369fc6c-5f88a248-6018,0.0,AUTO_FINAL
420.0,1017,4200.0,21900.0,17700.0,1091_uty_sleeps_1,0.0,1602873120.0,28800.0,x369fc6c-5f89e720-558c,0.0,AUTO_TENTATIVE
300.0,1017,0.0,26700.0,18120.0,1091_uty_sleeps_1,8580.0,1602698220.0,28800.0,x369fc6c-5f873bec-684c,0.0,ENHANCED_TENTATIVE
240.0,1017,900.0,25620.0,17160.0,1091_uty_sleeps_1,7560.0,1602789960.0,28800.0,x369fc6c-5f88a248-6414,0.0,ENHANCED_TENTATIVE
360.0,1017,960.0,26100.0,19080.0,1091_uty_sleeps_1,6060.0,1602873900.0,28800.0,x369fc6c-5f89ea2c-65f4,0.0,ENHANCED_TENTATIVE
240.0,1018,900.0,25620.0,17160.0,1091_uty_sleeps_1,7560.0,1602789960.0,28800.0,x369fc6c-5f88a248-6414,0.0,ENHANCED_TENTATIVE
0.0,1018,3840.0,16800.0,12960.0,1091_uty_sleeps_1,0.0,1602958980.0,28800.0,x369fc6c-5f8b3684-41a0,0.0,AUTO_TENTATIVE
300.0,1018,780.0,19860.0,12780.0,1091_uty_sleeps_1,6300.0,1602956760.0,28800.0,x369fc6c-5f8b2dd8-4d94,0.0,ENHANCED_TENTATIVE
180.0,1018,0.0,26640.0,18000.0,1091_uty_sleeps_1,8640.0,1602873480.0,28800.0,x369fc6c-5f89e888-6810,0.0,ENHANCED_TENTATIVE
300.0,1018,0.0,19920.0,13560.0,1091_uty_sleeps_1,6360.0,1602956700.0,28800.0,x369fc6c-5f8b2d9c-4dd0,0.0,ENHANCED_TENTATIVE
300.0,1019,6720.0,27960.0,21240.0,1091_uty_sleeps_1,0.0,1603044360.0,28800.0,x369fc6c-5f8c8408-6d38,0.0,AUTO_TENTATIVE
180.0,1019,0.0,26640.0,18000.0,1091_uty_sleeps_1,8640.0,1602873480.0,28800.0,x369fc6c-5f89e888-6810,0.0,ENHANCED_TENTATIVE
300.0,1019,0.0,19920.0,13560.0,1091_uty_sleeps_1,6360.0,1602956700.0,28800.0,x369fc6c-5f8b2d9c-4dd0,0.0,ENHANCED_TENTATIVE
60.0,1019,1560.0,28140.0,19860.0,1091_uty_sleeps_1,6720.0,1603044780.0,28800.0,x369fc6c-5f8c85ac-6dec,0.0,ENHANCED_TENTATIVE
300.0,1020,0.0,19920.0,13560.0,1091_uty_sleeps_1,6360.0,1602956700.0,28800.0,x369fc6c-5f8b2d9c-4dd0,0.0,ENHANCED_TENTATIVE
300.0,1020,4080.0,19380.0,15300.0,1091_uty_sleeps_1,0.0,1603131660.0,28800.0,x369fc6c-5f8dd90c-4bb4,0.0,AUTO_TENTATIVE
420.0,1020,0.0,21540.0,14100.0,1091_uty_sleeps_1,7440.0,1603129680.0,28800.0,x369fc6c-5f8dd150-5424,0.0,ENHANCED_TENTATIVE
60.0,1020,1440.0,28140.0,18300.0,1091_uty_sleeps_1,8400.0,1603044780.0,28800.0,x369fc6c-5f8c85ac-6dec,0.0,ENHANCED_TENTATIVE
180.0,1020,0.0,21960.0,15120.0,1091_uty_sleeps_1,6840.0,1603129560.0,28800.0,x369fc6c-5f8dd0d8-55c8,0.0,ENHANCED_TENTATIVE
360.0,1020,3720.0,9300.0,5580.0,1091_uty_sleeps_1,0.0,1603223700.0,28800.0,x369fc6c-5f8f4094-2454,0.0,AUTO_TENTATIVE
720.0,1021,5820.0,22560.0,16740.0,1091_uty_sleeps_1,0.0,1603223700.0,28800.0,x369fc6c-5f8f4094-5820,0.0,AUTO_TENTATIVE
180.0,1021,1680.0,23220.0,15300.0,1091_uty_sleeps_1,6240.0,1603224000.0,28800.0,x369fc6c-5f8f41c0-5ab4,0.0,ENHANCED_TENTATIVE
180.0,1021,0.0,21960.0,15120.0,1091_uty_sleeps_1,6840.0,1603129560.0,28800.0,x369fc6c-5f8dd0d8-55c8,0.0,ENHANCED_TENTATIVE
300.0,1021,180.0,27720.0,18660.0,1091_uty_sleeps_1,8880.0,1603223880.0,28800.0,x369fc6c-5f8f4148-6c48,0.0,ENHANCED_TENTATIVE
180.0,1022,0.0,21960.0,15120.0,1091_uty_sleeps_1,6840.0,1603129560.0,28800.0,x369fc6c-5f8dd0d8-55c8,0.0,ENHANCED_TENTATIVE
420.0,1022,4860.0,23340.0,18480.0,1091_uty_sleeps_1,0.0,1603307580.0,28800.0,x369fc6c-5f90883c-5b2c,0.0,AUTO_TENTATIVE
120.0,1022,0.0,24840.0,18060.0,1091_uty_sleeps_1,6780.0,1603307760.0,28800.0,x369fc6c-5f9088f0-6108,0.0,ENHANCED_TENTATIVE
300.0,1022,0.0,27780.0,19260.0,1091_uty_sleeps_1,8520.0,1603223820.0,28800.0,x369fc6c-5f8f410c-6c84,0.0,ENHANCED_TENTATIVE
240.0,1022,3660.0,10860.0,7200.0,1091_uty_sleeps_1,0.0,1603396320.0,28800.0,x369fc6c-5f91e2e0-2a6c,0.0,AUTO_TENTATIVE
720.0,1022,0.0,27300.0,15780.0,1091_uty_sleeps_1,11520.0,1603304700.0,28800.0,x369fc6c-5f907cfc-6aa4,0.0,ENHANCED_TENTATIVE
120.0,1022,0.0,11760.0,7440.0,1091_uty_sleeps_1,4320.0,1603396500.0,28800.0,x369fc6c-5f91e394-2df0,0.0,ENHANCED_TENTATIVE
180.0,1023,660.0,18420.0,12000.0,1091_uty_sleeps_1,5760.0,1603396500.0,28800.0,x369fc6c-5f91e394-47f4,0.0,ENHANCED_TENTATIVE
720.0,1023,0.0,27300.0,15780.0,1091_uty_sleeps_1,11520.0,1603304700.0,28800.0,x369fc6c-5f907cfc-6aa4,0.0,ENHANCED_TENTATIVE
300.0,1023,0.0,21180.0,13440.0,1091_uty_sleeps_1,7740.0,1603396440.0,28800.0,x369fc6c-5f91e358-52bc,0.0,ENHANCED_TENTATIVE
120.0,1024,5160.0,21600.0,16440.0,1091_uty_sleeps_1,0.0,1603478460.0,28800.0,x369fc6c-5f9323bc-5460,0.0,AUTO_TENTATIVE
120.0,1024,3000.0,23280.0,13200.0,1091_uty_sleeps_1,7080.0,1603478640.0,28800.0,x369fc6c-5f932470-5af0,0.0,ENHANCED_TENTATIVE
